Game,Meta,Meta (w/Data),Meta(w/Upset),Gemini,Gemini(w/Data),Gemini(w/Upset),Copilot,Copilot(w/Data),Copilot(w/Upset),Book Keeper Choice (DK),Odds (DK),Outcome,Odds of Winner,,,,,,,,,
Heat at Wizards,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,"Wizards +320, Heat -410",Heat,-410,,,,,,,,,
Clippers at Magic,Clippers,Clippers,Magic,Clippers,Clippers,Clippers,Clippers,Clippers,Magic,Clippers,"Magic +120, Clippers -142",Clippers,-142,,,,,,,,,
Kings at Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,"Kings +185, Pacers -225",Pacers,-225,,,,,,,,,
Jazz at Hornets,Hornets,Hornets,Hornets,Hornets,Hornets,Jazz,Jazz,Jazz,Jazz,Hornets,"Jazz +120, Hornets -142",Hornets,-142,,,,,,,,,
Celtics at Grizzlies,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Grizzlies,Grizzlies,Celtics,Celtics,"Grizzlies +184, Celtics -198",Celtics,-198,,,,,,,,,
Bulls at Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,"Bulls +700, Thunder -1100",Thunder,-1100,,,,,,,,,
Nets at Mavericks,Mavericks,Mavericks,Nets,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,"Nets +320, Mavericks -410",Nets,320,,,,,,,,,
Rockets at Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,"Rockets +145, Lakers -175",Lakers,-175,,,,,,,,,
Trailblazers at Hawks,Hawks,Hawks,Trailblazers,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,"Trailblazers +170, Hawks -205",Trailblazers,170,,,,,,,,,
76ers at Knicks,Knicks,Knicks,Knicks,Knicks,Knicks,Knicks,76ers,Knicks,Knicks,Knicks,"76ers +650, Knicks -1000",Knicks,-1000,,,,,,,,,
Suns at Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,"Suns +185, Bucks -225",Bucks,-225,,,,,,,,,
Warriors at Grizzlies,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Grizzlies,Warriors,Grizzlies,Warriors,"Grizzlies +170, Warriors -205",Warriors,-205,,,,,,,,,
Raptors at Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Raptors,Bulls,Bulls,Bulls,Bulls,"Raptors +164, Bulls -198",Bulls,-198,,,,,,,,,
Magic at Spurs,Magic,Magic,Magic,Magic,Magic,Magic,Spurs,Spurs,Magic,Magic,"Spurs +145, Magic -175",Magic,-175,,,,,,,,,
